Department,course_code,course_name,credits,distribution,prerequisites,overlap_with,syllabus
Mathematics,MAL100,Mathematics I,4,3-1-0,None,NA,Real number system: Sequences: Convergence of a sequence-Sandwich theorem- Cauchy sequences- subsequence-monotone sequences-monotone convergence theorem; Series: Convergence of infinite series-comparison test-Cauchy condensation test-ratio test-root test-Leibnitz test; Functions of one variable: Limits and continuity of functions- intermediate value propertydifferentiability of a function-local maxima and minima-Rolle's theorem-mean value theorem and applications; Integration: Definite integrals as a limit of sums-fundamental theorems of calculusapplications of definite integrals to area; volume; surface area-improper integrals; Functions of two variables: Limit-Continuity-partial derivatives- directional derivatives-gradient-differentiability-chain rule- tangent planes and normal – maxima and minima-Lagrange multiplier method; Multiple integrals: Double and triple integrals with applications to volume - surface area-change of variables-vector fieldsline integrals-Green's theorem and its applications-path independence- surface integrals evaluationGauss's divergence theorem and its applications-Stokes Theorem.
Mathematics,MAL101,Mathematics II,4,3-1-0,None,NA,Systems of linear equations: Elementary operations-row-reduced echelon matrices-Gauss eliminationLU factorization-linear independence-rank of a matrix-solutions of linear systems-existence and uniqueness; Vector spaces: Vector space-subspaces-spanning space-bases and dimensions; Linear transformations: Linear transformation-matrix representations of linear transformations-range space and rank-null space and nullity-the rank and nullity theorem-invertibility; Eigenvalues and eigenvectors: Eigne values-eigenvectors and some applications of eigenvalue problems-Hermitian; skew-Hermitian; unitary matrices and their eigenvalues-eigen bases; Diagonalization: Annihilating polynomial-the minimal polynomial and the characteristic polynomial-Cayley-Hamilton theorem-real quadratic form; Inner product spaces: Inner product spaces-orthonormal bases- Gram-Schmidt process; Differential Equations: Review of First Order ODE- Lipschitz condition-Picard`s theorem; Linear differential equations: Linear dependence and Wronskian-linear ODE with constant coefficients of higher ordercharacteristic equations- Cauchy-Euler equations-method of undetermined coefficients-method of variation of parameters- solutions methods using Laplace Transform.
Mathematics,MAL400,Introduction to Programming,4.5,2-1-3,None,NA,Content of this course is exactly overlapping with CSL100 and the same will be offered by the discipline of Computer Science and Engineering. 
Mathematics,MAL401,Linear Algebra,3,3-0-0,None,MAL101 (25%),Matrix: Systems of linear equations-matrices and elementary operations-row-reduced echelon matrices-solutions of linear systems: existence and uniqueness; Vector space: Vector spacessubspaces-spanning space-bases and dimensions-ordered basis and coordinates; Linear Transformation: Linear transformations-matrix representations of linear transformations-range space and rank-null space and nullity-the rank and nullity theorem-invertibility; Inner product spaces: CauchySchwarz's inequality-Gram-Schmidt orthonormalization-orthonormal basis-orthogonal projectionprojection theorem-four fundamental subspaces and their relations (relation between null space and row space; relation between null space of the transpose and the column space); Eigen space: Eigenvalues and eigenvectors-the characteristic polynomial-the Cayley- Hamilton theorem-the minimal polynomial-algebraic and geometric multiplicities-diagonalization-Invariant subspaces-adjoint of an operator-normal-unitary and self-adjoint operators-Schur's Lemma; diagonalization of normal matricesspectral decompositions and spectral theorem-applications of spectral theorem; Primary decomposition theorem-Jordon canonical form-Introduction to bilinear and Quadratic forms: Bilinear and quadratic forms-Sylvester's law of inertia.
Mathematics,MAL402,Real Analysis,3.5,3-0.5-0,MAL100 or Equivalent,MAL100 (20%),Overview of Real Number system: Completeness property-Density property-Countable and Uncountable; Metric Spaces: Metric spaces-Open sets-Closed sets-sequence-series-Limit-Continuity; Completeness: Complete metric space-Nested set theorem-Baire category theorem-Applications; Compactness: Basic properties of compact set-Totally bounded-Finite intersection propertyContinuous functions on compact sets-Uniform continuity; Connectedness: Basic properties of connected set-Continuous functions on connected sets-Path connected; Riemann integration: Definition and existence of integral-Fundamental theorem of calculus; Convergence of sequence and series of functions: Pointwise and uniform convergence of functions-Series of functions-Power seriesDini's theorem-Ascoli's theorem-Continuous function which is nowhere differentiable-Weierstrass approximation theorem.
Mathematics,MAL403,Probability and Statistics,4,3-1-0,MAL100 or Equivalent,NA,Introduction to set algebra-sigma algebra-Borel sigma algebra-sequence of sets and its limits-limsup and liminf of sequence of sets; Axiomatic definition of probability-probability space-properties of probability functions-conditional probability-Bayes’ rule-independence of events-continuity of probability functions-Borel Cantelli lemmas; Random variables-distribution function and its propertyprobability mass and density functions-symmetric distribution and its properties-expectation-momentsmoment generating function-Markov inequality- Chebyshev’s inequality; Joint distributions-marginal and conditional distributions-moments-independence of random variables-covariance; and correlation- joint moment generating functions-additive properties of random variables-functions of random variables-ordered Statistics; Special distributions: Discrete uniform-Bernoulli-binomial-geometricnegative binomial-hypergeometric-Poisson-exponential-gamma-normal-bivariate normal distribution; Population-sample-parameters-distributions of the sample mean and the sample variance for a normal population-Chi-Square-t and F distributions-law of large numbers–central limit theorem-point estimation-method of moments-maximum likelihood estimator-unbiasedness; Testing of hypothesis: Null and alternate hypothesis-Neyman Pearson fundamental lemma and its applications-tests for one sample and two sample problems for normal populations-tests for proportions-confidence interval estimation-confidence interval for parameters of normal population.
Mathematics,MAL404,Modern Algebra,3,3-0-0,MAL101 or Equivalent,NA,Groups: Basic notion of groups - subgroups - cosets of a subgroup - Lagrange's theorem- cyclic groups - permutation groups - normal subgroups - quotient groups - group homomorphisms; isomorphisms and automorphisms - group actions - Cayley’s theorem - Sylow's theorem - direct products of groupsfinite abelian groups; Rings: definition and examples of rings - subrings - Ideals - maximal and prime ideals - quotient rings- ring homomorphisms and isomorphisms. Integral domains: division rings and fields - field of quotients of an integral domain - Euclidean domains - principal ideal domains; unique factorization domains - Polynomial ring- Irreducibility of polynomials; Fields: Subfields - extension fields - algebraic extensions- roots of a polynomial - splitting fields- algebraically closed field - normal and separable extensions - Ruler and compass constructions. Galois theory: Fundamental theorem of Galois theory - polynomials solvable by radicals.
Mathematics,MAL405,Differential Equations,4,3-1-0,(MAL100 and MAL101) or Equivalent,MAL101 (20%),First order linear differential equations: Introduction to ODE; review of solution methods for linear first order differential equations; First order nonlinear differential equations: Cauchy-Picard theoremcontinuation of solutions; Second order linear differential equations: Solution methods by variation of parameters and Wronskian- order reduction methods-undetermined coefficients; Series solutionsSeries solutions of second order differential equations-Legendre and Bessel’s equations and properties-two point boundary value problem-Sturm-Liouville theory; Linear systems: Linear system with constant coefficients-fundamental solutions; First order linear and quasi-linear partial differential equations: Cauchy problem-method of characteristics; Second order partial differential equations: Classification of second order PDEs- physical motivation- Laplace; heat and wave equations- solutions using separation of variables; similarity methods; transform methods and power series method.
Mathematics,MAL406,Numerical Analysis,4,3-1-0,MAL100 or Equivalent,MEL304 (60%),Linear systems of equations: direct and iterative schemes- computational costs of each scheme- ill conditioning and convergence analysis- sources of errors; Nonlinear equations: Solutions of nonlinear equations- Numerical Schemes for non-linear systems- bisection method-Newton's method and its variants- fixed point iterations- convergence analysis; Interpolation: Finite differences- polynomial interpolation- Hermite interpolation- spline interpolation; Numerical integration: Trapezoidal and Simpson's rules - Gaussian quadrature - Richardson extrapolation; Initial value problems: Taylor series method - Euler and modified Euler methods - Runge-Kutta methods - single step - multistep methods – order – consistency - stability and convergence analysis; Boundary value problems: Shooting and finite difference methods.
Mathematics,MAL500,Topology,3,3-0-0,MAL402 or Equivalent,NA,Definition of topological spaces and examples-bases-subbases; Product topology-subspace topologymetric topology-quotient topology; Closed sets-limit points-continuous functions-homeomorphisms; Connectedness-connected sets in R-path connectedness-components and path components-local connectedness; Compactness-compactness in metric spaces-local compactness-limit point compactness-sequential compactness-compactification; The separation and countability axioms; Urysohn lemma-Urysohn's metrization theorem; Tietze extension theorem-Tychonoff theorem; Completely regular spaces-Stone-Čech compactification.
