course_code,Department,course_name,credits,distribution,prerequisites,overlap_with,syllabus
LAL200,Liberal Arts,Macroeconomics,2,2-0-0,None,LA321 (80%),Introduction: Circular flow of income; National Income Accounts and Distribution of Income/GDP: concept;methods of measurement;composition; GNP;NNP; Real GDP=nominal GDP-GDP deflator; inflation-Consumer price index; unemployment;natural rate of unemployment;Okun's Law;The Philips curve. Classical Theory: Economy in long run-factors of production;production function-supply of goods and services; Factor prices-firms demand for factors-division of national income; Demand for goods & services-consumption and investment-goods market equilibrium-financial market equilibrium. Money and Inflation: Functions;types;role of banks in the monetary system-money supply-instruments of monetary policy-role of central bank;money demand function-Quantity Theory of Money-inflation and interest rates-real and nominal interest rate-Demand for money;hyperinflation-classical dichotomy. Business cycle theory: Economy in short run;aggregate demand and supply-stabilization policy-IS-LM framework-fluctuations and shocks in IS-LM model-policy analysis;Great depression spending and money hypothesis. Open economy: International flow of capital and goods-exports-trade balance;trade openness-capital mobility and small open economy-exchange rates-Mundell-Fleming Model-Asian financial crisis 1997 and Financial crisis 2008. Indian Economy: Fiscal Policy analysis;Functions of Reserve Bank;Monetary Policy Committee;Inflation targeting and Monetary policy analysis
LAL202,Liberal Arts,International Trade,2,2-0-0,Nil,Nil,Introduction: International economics-Gains from trade-pattern of trade;International capital marketTrade protectionism;reasons and strategies; India's international trade-World trade overview. Theory of trade: Classical theories-Mercantilism;comparative advantage theory; offer curves and Terms of Trade; New theories of trade;Factor Endowments;Heckscher-Ohlin Theory;Empirical  evidence on H-O model;Stolper-Samuelson Theorem;Gravity model; Economies of scale;Economic growth and international trade. International trade policy: Trade restrictions-tariffs;non-tariff barriers;new protectionism policies; Economic integration-Customs Unions;inter-regional trade;trade blocks and free trade Areas; International resource movement; World Trade Organisation (WTO). Balance of Payments and Foreign exchange market: Capital and current accounts-BoP-Foreign exchange rates-exchange rate determination. International Monetary System: Price adjustment mechanism with flexible and fixed exchange rates; Income adjustment mechanism-automatic adjustments; Open economy adjustment policies; IMF; International monetary system and policy coordination
LAL222,Liberal Arts,City in Literature,2,2-0-0,Nil,LA305 (100%),Planning: informality;risk Home: design;family Small Towns: community;aspiration Love: desire;agency.
LAL223,Liberal Arts,Introduction to Partition Literature,2,2-0-0,Nil,LA327 (50%),Historical background Testimonies and accounts: Urvashi Butalia's The Other Side of Silence Trauma and memory: Manto's “Toba Tek Singh” and “Khol Do”;Excerpts from Khuswant Singh's Train to Pakistan ;Excerpts from Bhisham Sahni's Tamas Women's experience;Chughtai's “Roots”;Uttamchandani's “Bhoori”;Manik Bandhopadhyay's “The Final Solution”;Amirta Pritam's “Ode to Waris Shah” Partition Literature and film;Garam Hava;Meghe Dhaka Tara
LAL224,Liberal Arts,Introduction to Postcolonial Literature,2,2-0-0,Nil,LA354 (50%),Background: the history of colonialism Defining the key terms: colonialism;imperialism;and postcolonialism Commonwealth Literature: national vs. postcolonial literature [Rushdie's “Commonwealth Literature does not Exist”] Eurocentrism: The Orient and the Occident;otherisation [Edward Said's Orientalism;Eduardo Galeano's Mirrors;Atwood's “Post-colonial”] Politics of language: English vs. regional languages;language as cultural capital;class and aspiration [ Macaulay's Minute on Indian Education;Ezekiel's “Goodbyr Party for Ms. Pushpa TS”;Fanon on language in Black Skins;White Masks;Aime Cesaire's A Tempest] Diaspora: identity and belonging [Vikram Seth's “Diwali”;Mira Nair's The Namesake;excerpts from Lahiri's The Namesake]
LAL225,Liberal Arts,Self and Society in Modern India,2,2-0-0,Nil,LA360 (50%),Life writing: autobiography;memoir;biography Selfhood: self-fashioning;aspiration;privilege Nation: modernity;decolonisation;globalisation Gender: womanhood;transgendering ;sexuality
LAL227,Liberal Arts,Women's Literature,1,1-0-0,Nil,Nil,Introduction to women's writings: Early women's writings;idea of gender. Women as writer: Stereotypes of women's representation;identity and subjectivity Sexuality and desire: Problematizing patriarchy;writing the body;performativity of gender Gender and ethnicity: Feminism of colour;postcolonial feminism Gendering of space: Space and gender;imagining the nation;feminist writings from India Post-feminism: Cyborg feminism;contemporary discourses
LAL228,Liberal Arts,Travel in the pre-modern world,1,1-0-0,Nil,Nil,Introduction: Modes and means of travel;pre-modern cartographies;cultural ethnographies;narrative and archontic power Trade and Travel: mobility and pluralistic selfhoods;Baghdad;Bulgars and the Khazars;Company pioneers and charlatans;Rus customs and the Seventh Clime Diplomacy and Travel: Accidental Occidentalism;nascent Orientalism;Statecraft at Samarkand;Agra in European eyes
LAL242,Liberal Arts,Basics of Organizational Behaviour,1,1-0-0,Nil,LA347 (100%),The basic nature of Organizational Behaviour Fundamental Assumptions;levels of organizational behviour Brief History;Scientific management;Hawthrone studies;classical organizational theory;findings from social science;changes in the infotech age Disciplines that contribute to OB Challenges and opportunities due to globalization;workforce diversity and economic pressures;networked organizations;social media New tides: Responding to the virtual office and work from home
LAL243,Liberal Arts,Psychology of Memory,1,1-0-0,Nil,LA317 (100%),Cognition;Understanding memory Theories of memory;Atkinson and Shiffrin model;the neural networks model Types of memory;Sensory memory;the working memory and long term memory-semantic;episodic and autobiographical memory. Forgetting;as a result of interference;as a result of retrieval inhibition;distortion and influence of schemas;repression. Mnemonic techniques;for improving memory and remembering better Applications of memory;in Law;clinical psychology;education
