C,T,S,W,I,J
Medium,Strong,Weak,Fail,Pass,No
High,Weak,Weak,Pass,Pass,Yes
High,Weak,Weak,Pass,Fail,Yes
Medium,Strong,Weak,Pass,Pass,Yes
Low,Strong,Weak,Pass,Fail,No
Low,Strong,Weak,Fail,Pass,No
Low,Strong,Weak,Pass,Pass,Yes
High,Weak,Weak,Pass,Fail,No
Medium,Strong,Strong,Fail,Pass,No
High,Weak,Weak,Pass,Fail,No
Low,Strong,Strong,Fail,Pass,No
High,Weak,Strong,Pass,Pass,Yes
High,Weak,Strong,Pass,Pass,Yes
Medium,Weak,Strong,Pass,Pass,Yes
Low,Weak,Weak,Fail,Pass,No
Low,Strong,Weak,Pass,Pass,Yes
Medium,Strong,Weak,Pass,Pass,Yes
Medium,Strong,Weak,Pass,Pass,Yes
Medium,Strong,Weak,Fail,Pass,No
Medium,Weak,Strong,Fail,Pass,Yes
Medium,Weak,Weak,Pass,Fail,No
Low,Weak,Strong,Fail,Fail,No
Medium,Weak,Strong,Fail,Fail,No
Medium,Strong,Strong,Pass,Pass,Yes
Medium,Strong,Weak,Fail,Pass,No
High,Weak,Strong,Pass,Pass,No
Low,Weak,Weak,Fail,Fail,No
Medium,Weak,Weak,Fail,Fail,No
Medium,Weak,Strong,Pass,Fail,No
Low,Weak,Weak,Fail,Fail,No
Medium,Strong,Weak,Fail,Pass,No
Low,Weak,Strong,Fail,Pass,No
Low,Strong,Weak,Fail,Pass,Yes
High,Weak,Strong,Pass,Fail,No
High,Weak,Strong,Pass,Pass,Yes
High,Strong,Weak,Pass,Pass,Yes
Medium,Strong,Strong,Fail,Pass,Yes
Low,Weak,Strong,Fail,Fail,No
Medium,Strong,Weak,Pass,Fail,No
Medium,Weak,Weak,Pass,Fail,No
Low,Weak,Strong,Fail,Fail,No
Medium,Strong,Strong,Fail,Pass,No
Low,Strong,Strong,Fail,Pass,No
High,Weak,Weak,Pass,Fail,No
Medium,Weak,Weak,Pass,Fail,No
Medium,Strong,Strong,Pass,Pass,Yes
Medium,Weak,Weak,Fail,Pass,No
Medium,Weak,Strong,Pass,Fail,Yes
Medium,Strong,Strong,Pass,Pass,Yes
Low,Strong,Weak,Pass,Pass,Yes
High,Weak,Strong,Fail,Fail,No
High,Strong,Weak,Pass,Pass,Yes
High,Strong,Strong,Pass,Pass,Yes
High,Strong,Weak,Pass,Fail,Yes
Medium,Strong,Weak,Fail,Pass,No
High,Strong,Strong,Pass,Pass,Yes
Low,Weak,Strong,Fail,Pass,Yes
Low,Weak,Weak,Fail,Fail,No
Low,Strong,Weak,Pass,Pass,Yes
Medium,Strong,Weak,Fail,Pass,No
Medium,Strong,Weak,Pass,Pass,Yes
