Width,Length
0.6,1.1
1.1,2.1
0.9,2.8
1.2,2.9
1,3.4
4.5,3.5
1,3.8
0.5,4.4
1.5,5.4
1.1,5.6
1.1,5.6
1.8,5.9
1.4,6.3
0.9,7.0
2,7.1
2.5,7.5
2.4,7.9
2.1,8.1
2.2,8.1
2.4,9.8
2.5,10.5
2.1,10.8
4.2,12.3
1.1,12.5
4.4,12.9
2.1,13.4
1.6,13.5
1.2,13.6
1.5,13.9
3.3,13.9
1.6,14.4
1.4,14.4
3.3,14.5
3.5,14.6
1.5,15.1
3.1,15.2
1.6,15.4
1.5,15.7
1.8,16.2
1.7,16.3
1.3,16.6
1.4,16.8
1.4,16.8
1.5,16.9
2.9,17.0
1.2,17.0
3.5,17.0
2.5,17.1
3.5,17.2
1.4,17.3
4.9,17.5
4,18.0
3.9,18.1
1.7,18.6
1.5,18.8
3.9,18.9
4.7,19.1
1.6,19.2
1.4,19.4
12.1,19.8
4,20.1
2,20.5
2.3,20.5
1.7,21.2
2.1,21.5
1.6,21.7
1.9,22.8
2.2,23.6
2.9,24.5
2.1,24.6
