Degree,Count
0,320781
1,19680
2,12947
3,9930
4,7985
5,6588
6,5705
7,4859
8,4246
9,3863
10,3578
11,3132
12,2942
13,2713
14,2475
15,2265
16,2114
17,2048
18,1883
19,1783
20,1712
21,1633
22,1533
23,1473
24,1421
25,1330
26,1296
27,1288
28,1221
29,1093
30,1140
31,1066
32,977
33,1012
34,953
35,979
36,933
37,855
38,823
39,794
40,785
41,752
42,713
43,726
44,664
45,685
46,688
47,651
48,631
49,632
50,617
51,553
52,582
53,613
54,542
55,549
56,552
57,589
58,518
59,547
60,468
61,473
62,485
63,478
64,481
65,473
66,455
67,441
68,449
69,438
70,381
71,385
72,387
73,425
74,412
75,383
76,367
77,383
78,343
79,337
80,375
81,359
82,332
83,361
84,332
85,347
86,323
87,309
88,305
89,284
90,305
91,321
92,303
93,282
94,262
95,259
96,284
97,304
98,302
99,279
100,278
101,280
102,271
103,278
104,252
105,274
106,221
107,255
108,253
109,259
110,207
111,226
112,241
113,224
114,248
115,265
116,236
117,254
118,226
119,213
120,202
121,235
122,219
123,197
124,220
125,175
126,209
127,166
128,199
129,209
130,184
131,186
132,198
133,184
134,173
135,191
136,197
137,167
138,181
139,197
140,165
141,183
142,173
143,189
144,176
145,171
146,185
147,162
148,158
149,163
150,183
151,175
152,162
153,174
154,169
155,160
156,156
157,134
158,166
159,154
160,164
161,143
162,158
163,137
164,154
165,168
166,136
167,160
168,139
169,133
170,143
171,118
172,126
173,129
174,149
175,136
176,141
177,154
178,132
179,148
180,123
181,140
182,147
183,130
184,125
185,122
186,126
187,117
188,89
189,125
190,119
191,141
192,113
193,122
194,124
195,119
196,115
197,125
198,121
199,121
200,150
201,125
202,118
203,117
204,115
205,107
206,101
207,120
208,112
209,123
210,109
211,116
212,109
213,102
214,93
215,128
216,107
217,119
218,130
219,99
220,99
221,91
222,102
223,103
224,103
225,87
226,113
227,109
228,101
229,94
230,88
231,91
232,88
233,114
234,109
235,85
236,107
237,78
238,86
239,85
240,73
241,98
242,86
243,73
244,102
245,97
246,82
247,103
248,89
249,96
250,99
251,89
252,98
253,87
254,86
255,86
256,97
257,79
258,77
259,94
260,72
261,73
262,85
263,80
264,71
265,81
266,84
267,83
268,82
269,86
270,72
271,88
272,82
273,94
274,88
275,89
276,64
277,86
278,97
279,79
280,66
281,71
282,79
283,83
284,80
285,86
286,77
287,85
288,85
289,59
290,66
291,73
292,69
293,67
294,71
295,69
296,70
297,59
298,88
299,64
300,76
301,81
302,85
303,74
304,73
305,66
306,62
307,77
308,68
309,69
310,64
311,72
312,61
313,80
314,73
315,63
316,58
317,76
318,62
319,64
320,68
321,57
322,63
323,49
324,50
325,64
326,70
327,60
328,58
329,61
330,65
331,60
332,58
333,71
334,55
335,69
336,64
337,74
338,75
339,53
340,65
341,63
342,58
343,33
344,42
345,42
346,76
347,55
348,67
349,55
350,62
351,51
352,60
353,43
354,85
355,59
356,53
357,62
358,51
359,48
360,54
361,52
362,47
363,63
364,56
365,54
366,47
367,53
368,50
369,53
370,52
371,67
372,57
373,43
374,49
375,56
376,37
377,53
378,54
379,54
380,43
381,43
382,64
383,40
384,42
385,49
386,40
387,53
388,38
389,48
390,46
391,61
392,49
393,42
394,44
395,60
396,51
397,66
398,37
399,35
400,43
401,44
402,38
403,34
404,55
405,48
406,40
407,43
408,43
409,43
410,43
411,57
412,63
413,55
414,42
415,47
416,41
417,38
418,51
419,33
420,45
421,40
422,45
423,58
424,60
425,35
