Degree,Count
0.0,320781
1.0,19680
2.0,12947
3.0,9930
4.0,7985
5.0,6588
6.0,5705
7.0,4859
8.0,4246
9.0,3863
10.0,3578
11.0,3132
12.0,2942
13.0,2713
14.0,2475
15.0,2265
16.0,2114
17.0,2048
18.0,1883
19.0,1783
20.0,1712
21.0,1633
22.0,1533
23.0,1473
24.0,1421
25.0,1330
26.0,1296
27.0,1288
28.0,1221
29.0,1093
30.0,1140
31.0,1066
32.0,977
33.0,1012
34.0,953
35.0,979
36.0,933
37.0,855
38.0,823
39.0,794
40.0,785
41.0,752
42.0,713
43.0,726
44.0,664
45.0,685
46.0,688
47.0,651
48.0,631
49.0,632
50.0,617
51.0,553
52.0,582
53.0,613
54.0,542
55.0,549
56.0,552
57.0,589
58.0,518
59.0,547
60.0,468
61.0,473
62.0,485
63.0,478
64.0,481
65.0,473
66.0,455
67.0,441
68.0,449
69.0,438
70.0,381
71.0,385
72.0,387
73.0,425
74.0,412
75.0,383
76.0,367
77.0,383
78.0,343
79.0,337
80.0,375
81.0,359
82.0,332
83.0,361
84.0,332
85.0,347
86.0,323
87.0,309
88.0,305
89.0,284
90.0,305
91.0,321
92.0,303
93.0,282
94.0,262
95.0,259
96.0,284
97.0,304
98.0,302
99.0,279
100.0,278
101.0,280
102.0,271
103.0,278
104.0,252
105.0,274
106.0,221
107.0,255
108.0,253
109.0,259
110.0,207
111.0,226
112.0,241
113.0,224
114.0,248
115.0,265
116.0,236
117.0,254
118.0,226
119.0,213
120.0,202
121.0,235
122.0,219
123.0,197
124.0,220
125.0,175
126.0,209
127.0,166
128.0,199
129.0,209
130.0,184
131.0,186
132.0,198
133.0,184
134.0,173
135.0,191
136.0,197
137.0,167
138.0,181
139.0,197
140.0,165
141.0,183
142.0,173
143.0,189
144.0,176
145.0,171
146.0,185
147.0,162
148.0,158
149.0,163
150.0,183
151.0,175
152.0,162
153.0,174
154.0,169
155.0,160
156.0,156
157.0,134
158.0,166
159.0,154
160.0,164
161.0,143
162.0,158
163.0,137
164.0,154
165.0,168
166.0,136
167.0,160
168.0,139
169.0,133
170.0,143
171.0,118
172.0,126
173.0,129
174.0,149
175.0,136
176.0,141
177.0,154
178.0,132
179.0,148
180.0,123
181.0,140
182.0,147
183.0,130
184.0,125
185.0,122
186.0,126
187.0,117
188.0,89
189.0,125
190.0,119
191.0,141
192.0,113
193.0,122
194.0,124
195.0,119
196.0,115
197.0,125
198.0,121
199.0,121
200.0,150
201.0,125
202.0,118
203.0,117
204.0,115
205.0,107
206.0,101
207.0,120
208.0,112
209.0,123
210.0,109
211.0,116
212.0,109
213.0,102
214.0,93
215.0,128
216.0,107
217.0,119
218.0,130
219.0,99
220.0,99
221.0,91
222.0,102
223.0,103
224.0,103
225.0,87
226.0,113
227.0,109
